question,contexts,ground_truth,evolution_type,episode_done,model,chunks_provided,answer,file_names,headings,run_time,chunks
"""How does Local (2.2km) improve UKCP18's tools with detailed data?""","['chunk: The new Local (2.2km) provides the most physically realistic projections of extremes in local areas for  the coming decades and gives access to sub-daily information.  But, like the Regional (12km), Local (2.2km)  projections span a narrower range of uncertainty compared to the Global (60km) projections. Therefore, we  advise using the Local (2.2km) projections in parallel with other products in the UKCP18 toolkit. 1.8 The new UKCP Local (2.2km) provides, for the first time, national climate change information on a  similar resolution to that of current operational weather forecast models.  Local (2.2km) allows us to  simulate better the type of small-scale behaviour seen in the real atmosphere, including atmospheric  convection 2 , as well as the influence of mountains, coastlines and urban areas. Locally relevant information  can help to inform decision-making on future climate change, to enhance resilience, and adds further  capability to the UKCP18 suite of climate projection tools. 1.9 The new Local (2.2km) projections provide output at hourly scales which is needed for some user  applications, better informing future risk assessments.  Local (2.2km) provides data at kilometre and  hourly scales that can be directly fed into impact models and local decision-making tools. For example,  hourly rainfall data can be used to inform future changes in surface water flood risk for urban flood  management schemes and contingency planners. Data on future extreme heat can be used for decision- making around key infrastructure including bridges, trainlines and thermal performance of buildings. 1.10 Climate science is continually advancing.  We can expect new results to emerge during the coming years  from observations, and from new generations of global, regional and local climate models.  The products  and services will therefore continue to be developed over the coming months and years, informed by  further user input as well as developments in modelling capability. 2  Motion caused by the tendency of hotter, less dense fluid (liquid or gas) to rise, and cooler, more dense fluid to sink, under the influence of gravity.  In the atmosphere, convection leads to vertical transfer of heat and moisture, driving the development of showers and thunderstorms.  Source: Met Office © Crown Copyright 2021 www.metoffice.gov.uk Pg 5 of 12']","Local (2.2km) improves UKCP18's tools by providing data at kilometre and hourly scales that can be directly fed into impact models and local decision-making tools, enhancing the capability to inform decision-making on future climate change and resilience.",reasoning,True,gpt-4-turbo,sections,,,,,
"""What are the guidelines for representing climate variables in UKCP18 scenarios?""","['chunk: Additional caveats and limitations come with:  •  Derived projections. •  Extended exploratory time-mean sea level projections.  •  Tide and surge simulations. The derived projections over UK land areas use approximate methods to produce an estimate of RCP2.6  and global warming levels of 2 and 4 ° C (compared to pre-industrial). This introduces additional  uncertainties. One of the major assumptions is that we can use the climate model time series that reach  particular warming levels through the 21 st  century (transient) to inform a future that has reached a steady  warming level (stabilized). There is some evidence that future climate outcomes at a particular global  warming level can differ depending on whether that warming level is transient or stabilized (e.g. Ceppi et al,  2018). See UKCP18 Derived Scenarios Report (Gohar et al, 2018).  The extended exploratory time-mean sea level projections have much lower confidence than the 21 st   Century Projections. Consider these projections as sensitivity studies and do not interpret them as showing  the full range of post-2100 behaviour, or the most likely behaviour. The potential for additional sea level rise  from Antarctic dynamic ice discharge is even more uncertain on these time horizons, with some studies  suggesting several additional metres of rise by 2300 under RCP8.5.  The simulations of changes in tide and surge characteristics make the simple assumption of a fixed  coastline under all levels of future sea level rise.  10.  Take care when comparing/combining variables When carrying out analyses that consider more than one variable, ensure that any outcomes are consistent  and coherent in their representation of the changes. For the probabilistic projections, there is no spatial  coherence. For the global, regional, local and derived projections ensure that you choose variables from the  same member of the set of projections. For example, summer temperature from one member is unlikely to  be consistent with precipitation from another. Choosing a model based on being amongst the largest of the probabilistic climate changes in summer  does not necessarily translate into the same model being in such an extreme position in the winter  change results.   Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 5 of 6']","When carrying out analyses that consider more than one variable, ensure that any outcomes are consistent and coherent in their representation of the changes. For the probabilistic projections, there is no spatial coherence. For the global, regional, local and derived projections ensure that you choose variables from the same member of the set of projections.",reasoning,True,gpt-4-turbo,sections,,,,,
How do UKCP18 projections compare central to tail climate outcomes?,"['chunk: We have designed the probabilistic projections to provide the primary tool for assessments of the ranges of  uncertainties in UKCP18. However, they may not capture all possible future outcomes. The set of global and UK future climates has limited sizes and whilst it does cover a range of futures (with  the Met Office set of global models providing the higher end of future global temperatures), it cannot  simulate every possible future climate. This is especially true of the regional model (and consequently the  convection-permitting model used in the local (2.2km) projections) which is not driven by any climate  model simulations that fed into IPCC AR5 (i.e. CMIP5 climate models). Neither the set based on global  models, or that based on regional and convection-permitting models have been designed to support  estimates of the relative likelihood of alternative outcomes within their ranges of response, nor have they  been constructed to replicate the probabilistic projections.  The 21 st  century surge and wave projections are based upon relatively small set of CMIP5 models. It is  unlikely that these simulations span the full range of CMIP5 model responses under climate change. In  particular, these projections should be viewed as indicative of the overall magnitude of changes we might see  over the 21 st  Century.  For both the surge and wave projections, we are unable to quantify the relative  influence of the climate change signal and natural variability on the simulated changes over the 21 st  Century. 5.  How to use the UKCP18 probabilistic projections and what   they represent The future probabilistic projections in UKCP18 are an update of those produced for UKCP09. You should  interpret the probabilities as being an indication of how much the evidence from models and observations  taken together in our methodology support a particular future climate outcome.  The relative probabilities indicate how strongly the evidence from models and observations, taken together  in our methodology, support alternative future climate outcomes. There is more evidence for outcomes  near the centre of the distribution than in the tails, so we see unimodal (single-peaked) distributions. In  these, the relative probabilities for specific outcomes are typically much higher near the 50% cumulative  probability level (median) of the distribution, than for outcomes lying either below the 10% cumulative  probability level or above the 90% cumulative probability level. As mentioned above, the probabilities are conditioned on methodological choices and expert judgement.  The results may change if a different methodology is used. See sections 2 and 4.1 of UKCP18 Guidance:  How To Use The Land Projections.  Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 3 of 6']","In UKCP18 projections, there is more evidence for outcomes near the centre of the distribution than in the tails, resulting in unimodal distributions where the relative probabilities for specific outcomes are typically much higher near the 50% cumulative probability level (median) of the distribution, than for outcomes lying either below the 10% cumulative probability level or above the 90% cumulative probability level.",reasoning,True,gpt-4-turbo,sections,,,,,
"""How do CPM and RCM reliability compare for future projections, considering biases and snow treatment?""","['chunk: Appendix A  Comparing the Convection and Regional Climate Models Phenomenon CPM improved  present-day biases? CPM different  future changes? Understanding of CPM-RCM projection  differences and implications for reliability ✓  (improved) or  8  (made  worse) or  ~  (similar)  compared to RCM-PPE Where projections differ, key processes   represented differently in CPM, and implications   for reliability ( ✓ ,  8  or  •  unknown) -  denotes similar projections +  (enhanced) -  (weakened) or ~  (equivalent) compared  to RCM-PPE Temperature Winter mean  temperature ✓  Reduced cold bias in  north and reduced warm  bias in south in CPM. -  Smaller increase in CPM  over Scotland. ~  Similar increases  elsewhere. Differences in N likely related to missing graupel in  the snowpack and different snow scheme in CPM,  which lead to much less lying snow in the present- day and a smaller decrease in lying snow in the future  in the CPM. •  Reduced temperature biases in present-day, but  treatment of lying snow less sophisticated in CPM.  Both CPM and RCM projections plausible, but  deficiencies in both cases. Summer mean  temperature ✓   CPM is warmer, with  reduced biases except in S.   ~   Similar increases -   Reduced biases in present-day likely related to  less cloud in CPM, but future changes driven by  large-scale warming seen by both models. Cold winter days ✓   Reduction of cold bias  in N in CPM. -   Smaller increase in  temperature in CPM in N. (See above for winter mean temperature) •   Reduced temperature biases in N in present-day,  but treatment of lying snow less sophisticated in  CPM. Both CPM and RCM projections plausible, but  deficiencies in both cases. ~   Similar increases in  temperature -   Models have different present-day biases, but  future changes dominated by large-scale warming  seen by both models. Hot summer days ✓   Biases reduced in  N in CPM 8   CPM too hot in S. -   Smaller decrease in  frequency of intense cold  spells in N in CPM Cold spells ✓   Reduced biases in the  number of intense cold  spells in N in CPM (with too  many in RCM). (See above for winter mean temperature) •   Reduced biases in present-day, but treatment of  lying snow less sophisticated in CPM. Both CPM and  RCM projections plausible, but deficiencies in both  cases. Hot spells ✓   Reduced biases in the  number of hot spells in S in  CPM (with too few in  RCM). ~   Similar increase in  frequency of hot spells -   Models have different present-day biases possibly  related to drier soils in CPM, but future changes  dominated by large-scale warming seen by both  models.  Source: Met Office © Crown Copyright 2019 www.metoffice.gov.uk Pg 17 of 21']","Both CPM and RCM projections are considered plausible, but there are deficiencies in both cases. The treatment of lying snow is less sophisticated in CPM, which affects its reliability compared to RCM.",reasoning,True,gpt-4-turbo,sections,,,,,
What updates will FUTURE-DRAINAGE apply to UK urban drainage from new UKCP data?,"['chunk: Once new data from all 12 ensemble members becomes available, we will be able to make  more confident statements regarding the impact of the error on precipitation extremes.  We  recommend that users carry out testing of the sensitivity of any analysis to the UKCP Local  data and note that such sensitivity testing is already considered good practice in adaptation  decision making with climate data. Once the new dataset becomes available this should  become the preferred dataset for all new applications. We are aware that many users are  awaiting results from the FUTURE-DRAINAGE project that are based on the UKCP 2.2km data.  The project will provide new projections of change to surface water flooding, with updated  guidance on precipitation uplifts that should be adopted in urban drainage design and flood  risk assessment in the UK. We will work directly with the FUTURE-DRAINAGE project to ensure  that results using the new UKCP Local simulations (with the graupel code error fixed) bec ome  available for that project as soon as possible.  ? Surface winds   For surface winds, where users are already using or planning to use the UKCP 2.2km  projections, we recommend that users can continue to use the existing data but with caution.  There is some impact of the graupel code error on present-day surface winds, where the  original data may underestimate wind speeds mainly over the ocean but also over Ireland, the  Cairngorms and some north-western coastal regions. The impact on future changes in surface  wind speeds is smaller and not significant compared to the CPM ensemble spread, except  locally over the Cairngorms. Bias correction of the present day may be appropriate.  * Lightning   Due to concerns with the lightning results from the UKCP Local (2.2km) projections, lightning  data was not released in the original launch in September 2019 (Kendon et al., 2019). The test  simulation suggests that lightning occurrence will be much improved in the new simulations  with the graupel code error fixed, allowing lightning data to be released in future. This will  represent an enhancement for users not available in the original data release.  A summary of the advice on the use of the UKCP Local (2.2km) projections by impact sector is provided  in Table 1. Any existing users of the UKCP Local (2.2km) projections using metrics identified in Column  2 should rerun their analysis using the new 2.2km data once available; those using metrics in Column  4 do not need to rerun; whilst for users of metrics in Column 3, initial conclusions based on the original  data are unlikely to be radically changed, however, where possible this should be assessed with the  new dataset when available. Further details on the impacts of the graupel code error are provided in  Part 2 and summarised in Table 2.']","The FUTURE-DRAINAGE project will provide new projections of change to surface water flooding, with updated guidance on precipitation uplifts that should be adopted in urban drainage design and flood risk assessment in the UK.",reasoning,True,gpt-4-turbo,sections,,,,,
How does a strong NAO impact winter storms in NW Europe?,"['chunk: The term ‘North Atlantic Oscillation’ (NAO) is used to refer to variations in the large-scale surface air pressure  gradient in the North Atlantic region, which are responsible for much of the variability in the weather  experienced in the UK and Europe. The strength of the pressure gradient between the region of low near  Iceland (the ‘Icelandic low’) and the region of high pressure near the Azores (the ‘Azores high’) influences both  the strength and position of the Atlantic storm track. When the pressure difference is large, the NAO is  described as positive and the westerly winds are strong and storms tend to be stronger, more frequent and  travel across north-western Europe. When the pressure difference is small, storms tend to travel across  southern Europe. Although the NAO occurs throughout the year, it is particularly dominant during the winter. The NAO is known to be strongly associated with some historical winter flooding and wind events. By using  its relationship to UK and European precipitation, UKCP Global could potentially be used to understand the  NAO’s influence on projected increases in winter precipitation, alongside other drivers such as increases in  atmospheric moisture content. However, please note the results presented below showing the small climate  change impact compared to the year-to-year variability.  Positive (NAO) LOW HIGH Figure 1  Schematic representation of the North Atlantic Oscillation. The fluctuations in the NAO occur on a wide range of timescales. There are day-to-day changes associated  with weather systems, and slower changes associated with seasonal and longer term variability. A NAO  description is available on the  Met Office website . What is the Atlantic Pressure Gradient index and how does it relate to  the NAO? The winter Atlantic Pressure Gradient index made available in UKCP is calculated as the seasonal mean  (December-January-February) of the difference in sea-level pressure between Iceland and Gibraltar. Higher  values indicate a strong pressure gradient and are associated with unsettled conditions over the UK, while  lower values are associated with more stable UK conditions.  Source: Met Office © Crown Copyright 2020 www.metoffice.gov.uk Pg 2 of 6']","When the NAO is described as positive and the pressure difference is large, the westerly winds are strong and storms tend to be stronger, more frequent and travel across north-western Europe.",reasoning,True,gpt-4-turbo,sections,,,,,
How do RCMs improve UK climate forecasts from GCM data?,"['chunk: 4.  Strand 3: a new perturbed parameter ensemble of   regional climate model simulations from 1980 - 2080 4.1. Overview  Dynamical downscaling using RCMs has formed an important component of UK climate projections since  the UKCIP02 scenarios (Hulme et al., 2002). Experience from worldwide research shows that RCMs add  value to simulations from global climate models, by better resolving physiographic features such as  mountains, land-sea contrast, urban effects and inland water bodies, and also mesoscale circulations and  storms (Rummukainen, 2016). Regional models can also provide improvements at larger scales that might  be considered well resolved by the driving GCM (Sørland et al., 2018). For the UK, RCMs simulate spatial  detail in climatological distributions of surface air temperature and precipitation with considerable skill (e.g.  Jones et al., 1995). They can also improve the representation of distributions of daily surface air  temperature and precipitation (Massey et al., 2015), and provide credible simulations of extreme regional  rainfall events on 1-10 day time scales (Fowler et al., 2005) . Many regional climate model simulations  (including those described below) are driven by global climate model output using a one-way nesting  technique, with a domain small enough to ensure that the large-scale circulation remains fairly close to that  of the driving model. The RCM therefore inherits biases from the global simulation (e.g. Noguer et al., 1998),  and is subject to the same limitations in relation to the representation of large-scale driving phenomena  (section 3.4).    Strand 3 provides a new ensemble of twelve RCM simulations for the period 1980-2080. This is a PPE of  RCM variants (RCM-PPE), configured at 12km horizontal resolution and driven by twelve of the fifteen  GC3.05-PPE simulations of section 3. It addresses requirements for a flexible dataset for impacts  assessments using contemporary UK modelling capabilities (user drivers 2 and 5 of section 1.3). In  particular, Strand 3 supports applications requiring detailed impacts information at local to sub-national  scales, especially those likely to benefit from the addition of skilful downscaling information to global model  output from GC3.05-PPE. In such applications, RCM-PPE provides a new resource for augmenting and updating studies based on the  HadRM3-PPE ensemble included in the suite of UKCP09 simulations (Murphy et al., 2009). Those 25km  projections were used in many UK impacts studies, including assessments of drought (Burke et al., 2010),  river flows (Prudhomme et al., 2012), water availability (Sanderson et al., 2012), flood frequency (Kay and  Jones, 2012), and effects on the electricity and rail networks (McColl et al., 2012; Palin et al., 2013).  Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 91 of 191']","RCMs improve UK climate forecasts from GCM data by better resolving physiographic features such as mountains, land-sea contrast, urban effects, and inland water bodies, and also mesoscale circulations and storms. They also provide improvements at larger scales that might be considered well resolved by the driving GCM, and improve the representation of distributions of daily surface air temperature and precipitation, and provide credible simulations of extreme regional rainfall events on 1-10 day time scales.",reasoning,True,gpt-4-turbo,sections,,,,,
"""Which model sources UKCP Global's RCP 2.6 and 8.5 simulations?""","['chunk: UKCP Global is one of the products from the latest UK Climate Projections published in 2018. It comprised  28 global climate projections at 60km spatial resolution for the 21 st  Century for a high emissions scenario  (RCP 8.5). This factsheet introduces an additional emissions scenario for UKCP Global: a low emissions  scenario, RCP 2.6. This scenario is one of the future emissions pathways used in the IPCC’s 5 th  Assessment  report. It represents a mitigation scenario aiming to limit the increase of global mean temperature to around  2°C above preindustrial levels for mid-range climate sensitivity. Further details can be found in the  guidance  on Representative Concentration Pathways . 2. What data are available and where can I find them? Similar to UKCP Global for RCP 8.5, the RCP 2.6 data is available on the  UKCP User Interface  and the  CEDA  Archive  for: •  The entire globe at 60km on a latitude-longitude grid (available only on the CEDA Archive) •  The UK at 60km on the Ordnance Survey’s British National Grid •  The time period 1/12/1899 to 30/11/2099 •  Daily, monthly, seasonal, annual time steps as well as 20- and 30-year time-slices •  Precipitation, temperature (maximum, mean and minimum), total cloud cover, humidity (relative   and specific), radiation (net long and short wave), sea-level pressure and wind direction (northward   and eastward) UKCP Global provides information on uncertainties arising from natural climate variability and differences in  how key processes are represented in climate models. The simulations are derived from alternative variants  of the Met Office Hadley Centre’s global climate model (HadGEM3-GC3.05), plus a selection of alternative  models from different modelling centres.']","The simulations for UKCP Global's RCP 2.6 and 8.5 are derived from alternative variants of the Met Office Hadley Centre's global climate model (HadGEM3-GC3.05), plus a selection of alternative models from different modelling centres.",reasoning,True,gpt-4-turbo,sections,,,,,
How might UKCP18 suggest UK summer rain could alter by '70?,"['chunk: •  Over land the projected general trends of climate changes in the 21 st  century are similar to UKCP09,  with a move towards warmer, wetter winters and hotter, drier summers. However, natural variations  mean that some cold winters, some dry winters, some cool summers and some wet summers will still  occur and users may need to factor this into decision-making. •  In UKCP18, the probabilistic projections provide local low, central and high changes across the UK,  corresponding to 10%, 50% and 90% probability levels. These local values can be averaged over the UK  to give a range of average warming between the 10% and 90% probability levels. By 2070, in the high  emission scenario, this range amounts to 0.7°C to 4.2°C in winter, and 0.9°C to 5.4°C, in summer. For  precipitation, corresponding ranges of UK average changes are -1% to +35% for winter, and -47% to  +2% for summer, where positive values indicate more precipitation and negative values indicate reduced  precipitation. •  Hot summers are expected to become more common. In the recent past (1981-2000) the probability of  seeing a summer as hot as 2018 was low (<10%). The probability has already increased due to climate  change and is now estimated to be between 10-25%. With future warming, hot summers by mid-century  could become even more common (with probabilities of the order of 50% depending on the emissions  scenario followed). •  Additionally, UKCP18 simulates sub-seasonal and sub-monthly extremes of climate and their changes,  such as daily extreme temperature and rainfall. There is also the potential for future changes in the time  spent experiencing different types of weather regimes. These can be examined using the new global and  regional projections.  Future changes at the coast and in the sea: •  UK coastal flood risk is expected to increase over the 21 st  century and beyond under all emission  scenarios considered. This means that we can expect to see both an increase in the frequency and  magnitude of extreme water levels around the UK coastline. This increased future flood risk will be  dominated by the effects of time-mean sea level rise, rather than changes in atmospheric storminess  associated with extreme coastal sea level events. There may also be changes in tidal characteristics. •  21 st  century projections of time-mean sea level change around the UK vary substantially by emissions  change scenario and geographic location. The very likely ranges for UK capital cities at 2100 are  summarised below for each scenario included in this report.   Source: Met Office © Crown Copyright 2018 www.metoffice.gov.uk Pg 4 of 73']","For precipitation, corresponding ranges of UK average changes are -47% to +2% for summer.",reasoning,True,gpt-4-turbo,sections,,,,,
"Under RCP8.5, how do TXx and Rx5day median projections differ by 2070?","['chunk: •  This report describes 21 st  century projections of 20-, 50- and 100-year return levels of daily maximum  surface air temperature (TXx), daily precipitation (Rx1day) and 5-day accumulated precipitation  (Rx5day) at 25km resolution.  •  This new information on climate extremes forms an extension to the UKCP Probabilistic component of  the land projections. Results are available for five emissions scenarios (RCP2.6, 4.5, 6.0 and 8.5, and  SRES A1B).    •  Under RCP8.5 emissions, the projections show future increases in median return levels in all seasons for  all variables. By 2070, the increase in median TXx relative to 1990 is 2.5°C in winter, and 3.7-4.3°C in  other seasons, based on UK averages of regional values. The smallest median increases occur in summer  for Rx1day and Rx5day, with larger increases (5-10mm for Rx1day and 9-13mm for Rx5day) occurring  in autumn, winter and spring.   •  The results provide broad assessments of known modelling uncertainties, based on 360 climate model  simulations combined with observational constraints in the same statistical framework used for other  UKCP Probabilistic variables.   •  These uncertainties grow during the 21 st  century. By 2070, for 50-year return levels under RCP8.5, UK  averages of the 10th and 90th percentiles are: 32.0°C and 39.9°C respectively for TXx in summer;  40mm and 58mm for Rx1day in winter; 102mm and 142 mm for Rx5day in autumn.  •  Data are presented as absolute future values in °C or mm, incorporating a bias correction that ensures  consistency with observed return levels for the baseline period of 1981-2000. The results are suitable  for analysis of extremes at specific 25km grid squares, but not for analysis of joint risks at spatially  distributed locations.  •  Users interested in spatially distributed analysis, or other types of extreme event, can obtain suitable  climate model data from other UKCP land products. These consist of the sets of 28 global projections  (UKCP Global), 12 European regional projections (UKCP Regional) and 12 UK convective-permitting  projections (UKCP Local).  •  However, these products include more limited representations of uncertainties, in comparison to UKCP  Probabilistic. Therefore, the results from this report can provide useful context for studies based directly  on model simulations, by revealing potential gaps in sets of potential climate impacts diagnosed from  the latter.  Source: Met Office © Crown Copyright 2020 www.metoffice.gov.uk Pg 3 of 46']","By 2070, under RCP8.5, the median increase in TXx is 2.5°C in winter and 3.7-4.3°C in other seasons, while the median increase for Rx5day is 9-13mm in autumn, winter, and spring.",reasoning,True,gpt-4-turbo,sections,,,,,
